#!/usr/bin/less
# template: imperfective, perfective
# the definition is listed in the main verbs file
# list of Russian verbs that can be used with dative case
# lines that start with the pound sign are comments
говорить,сказать
дарить,подарить
давать,дать
звонить,прзвонить
мочь,смочь
писать,написать
показывать,показать
покупать,купить
помогать,помочь
посылать,послать
разрешать,разрешить
советовать,прсоветовать
читать,прочитать
